"","game_id","school","conference","home_away","opponent","opponent_conference","points","total_yards","net_passing_yards","completion_attempts","passing_tds","yards_per_pass","passes_intercepted","interception_yards","interception_tds","rushing_attempts","rushing_yards","rush_tds","yards_per_rush_attempt","first_downs","third_down_eff","fourth_down_eff","punt_returns","punt_return_yards","punt_return_tds","kick_return_yards","kick_return_tds","kick_returns","kicking_points","fumbles_recovered","fumbles_lost","total_fumbles","tackles","tackles_for_loss","sacks","qb_hurries","interceptions","passes_deflected","turnovers","defensive_tds","total_penalties_yards","possession_time","points_allowed","total_yards_allowed","net_passing_yards_allowed","completion_attempts_allowed","passing_tds_allowed","yards_per_pass_allowed","passes_intercepted_allowed","interception_yards_allowed","interception_tds_allowed","rushing_attempts_allowed","rushing_yards_allowed","rush_tds_allowed","yards_per_rush_attempt_allowed","first_downs_allowed","third_down_eff_allowed","fourth_down_eff_allowed","punt_returns_allowed","punt_return_yards_allowed","punt_return_tds_allowed","kick_return_yards_allowed","kick_return_tds_allowed","kick_returns_allowed","kicking_points_allowed","fumbles_recovered_allowed","fumbles_lost_allowed","total_fumbles_allowed","tackles_allowed","tackles_for_loss_allowed","sacks_allowed","qb_hurries_allowed","interceptions_allowed","passes_deflected_allowed","turnovers_allowed","defensive_tds_allowed","total_penalties_yards_allowed","possession_time_allowed","season","champion"
"428",401752854,"Oregon","Big Ten","away","Penn State","Big Ten",30,"424","248","29-39","3","6.4","1","0","0","39","176","1","4.5","20","6-18","5-7","1","7","0",NA,NA,NA,"6","0","0","1","32","5","2","2","0","3","0","0","4-34","33:52",24,"276","137","14-25","2","5.5",NA,NA,NA,"35","139","1","4.0","15","6-15","3-3","1","-1","0",NA,NA,NA,"6",NA,"0",NA,"40","1","0","2","1","3","1","0","2-10","26:08",2025,FALSE
"429",401752831,"Oregon","Big Ten","away","Northwestern","Big Ten",34,"373","197","19-26","1","7.6","2","67","0","30","176","3","5.9","21","7-11","0-0","1","9","0",NA,NA,NA,"10",NA,"0",NA,"19","4","2","1","1","4","1","0","0-0","27:42",14,"313","135","11-22","0","6.1","1","-1","0","37","178","2","4.8","15","3-11","2-4",NA,NA,NA,"39","0","1","2","0","0","1","25","4","0","2","2","3","2","0","4-27","32:18",2025,FALSE
"430",401752804,"Oregon","Big Ten","home","Montana State","Big Sky",59,"506","253","19-25","3","10.1",NA,NA,NA,"39","253","5","6.5","29","7-10","2-2","4","34","0","91","0","4","11","0","0","1","37","7","3","0","0","3","0","0","3-29","30:08",13,"244","198","23-31","0","6.4",NA,NA,NA,"27","46","1","1.7","17","3-12","1-2",NA,NA,NA,"45","0","2","7","0","0","1","33","0","0","0","0","0","0","0","7-54","29:55",2025,FALSE
"431",401752917,"Oregon","Big Ten","away","Washington","Big Ten",26,"392","286","20-29","1","9.9","2","0","0","42","106","1","2.5","17","6-16","2-3","1","0","0","21","0","1","14",NA,"0",NA,"31","6","4","4","0","3","0","0","5-58","34:58",14,"283","129","15-30","2","4.3",NA,NA,NA,"33","154","0","4.7","18","5-13","1-2","1","1","0","36","0","1","2",NA,"0",NA,"46","6","2","0","2","0","2","0","4-39","25:02",2025,FALSE
"432",401752841,"Oregon","Big Ten","home","Oregon State","Pac-12",41,"585","305","21-31","4","9.8",NA,NA,NA,"46","280","1","6.1","29","4-10","1-2","6","70","0",NA,NA,NA,"11","1","0","1","13","2","0","4","0","3","0","0","5-40","36:55",7,"147","80","7-22","0","3.6",NA,NA,NA,"26","67","1","2.6","8","4-12","0-0",NA,NA,NA,"18","0","1","1","0","1","1","42","4","1","0","0","4","1","0","2-10","23:05",2025,FALSE
"433",401752911,"Oregon","Big Ten","home","USC","Big Ten",42,"436","257","22-30","2","8.6","2","-1","0","41","179","3","4.4","25","7-12","0-1","1","85","1","21","0","1","6","0","0","1","23","6","1","5","1","5","1","1","11-130","33:04",27,"382","330","26-44","4","7.5","1","10","0","28","52","0","1.9","23","7-16","2-4","1","4","0","0","0","1","3","0","0","2","38","2","0","1","2","1","2","0","8-103","26:56",2025,FALSE
"434",401752824,"Oregon","Big Ten","home","Oklahoma State","Big 12",69,"631","319","18-25","3","12.8","2","56","2","37","312","5","8.4","24","7-12","1-2","1","15","0",NA,NA,NA,"9",NA,"0",NA,"33","4","2","2","0","7","0","2","6-35","28:41",3,"211","67","7-19","0","3.5",NA,NA,NA,"42","144","0","3.4","9","4-16","1-1",NA,NA,NA,"39","0","3","3",NA,"0",NA,"28","3","0","3","2","0","2","0","8-45","31:19",2025,FALSE
"435",401752886,"Oregon","Big Ten","home","Wisconsin","Big Ten",21,"335","132","13-19","1","6.9","1","0","0","45","203","2","4.5","18","8-15","0-1","2","11","0",NA,NA,NA,"3",NA,"0",NA,"26","3","1","6","0","6","0","0","9-75","34:57",7,"196","86","7-21","1","4.1",NA,NA,NA,"29","110","0","3.8","11","3-11","2-3",NA,NA,NA,"72","0","3","1","0","0","4","28","7","4","1","1","2","1","0","8-67","25:03",2025,FALSE
"436",401752904,"Oregon","Big Ten","home","Minnesota","Big Ten",42,"510","331","30-33","2","10.0",NA,NA,NA,"30","179","4","6.0","27","6-9","0-0","2","18","0",NA,NA,NA,"6","0","1","2","25","5","2","4","0","5","1","0","4-35","29:36",13,"200","138","19-33","1","4.2",NA,NA,NA,"24","62","0","2.6","13","7-16","1-1",NA,NA,NA,"16","0","1","7","1","0","0","31","5","1","1","0","1","0","0","5-25","30:24",2025,FALSE
"437",401752870,"Oregon","Big Ten","home","Indiana","Big Ten",20,"267","186","21-34","1","5.5","1","35","1","30","81","0","2.7","14","3-14","3-4","2","8","0",NA,NA,NA,"8",NA,"0",NA,"35","4","1","3","2","6","2","1","7-64","26:50",30,"343","215","20-31","1","6.9","2","0","0","33","128","2","3.9","23","5-14","0-1","1","0","0",NA,NA,NA,"12","0","0","1","21","8","6","4","1","2","1","0","8-45","33:10",2025,FALSE
